"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-4-22","441.97","438.96","447.56","437.62","33.43M","2.05%"
"2025-4-21","433.11","438.23","439.08","427.93","44.15M","-2.47%"
"2025-4-17","444.10","447.17","447.75","441.36","44.84M","-0.02%"
"2025-4-16","444.18","449.03","452.62","437.76","48.98M","-3.02%"
"2025-4-15","457.99","458.54","462.38","456.15","35.40M","0.11%"
"2025-4-14","457.48","464.46","465.05","452.63","43.94M","0.68%"
"2025-4-11","454.40","444.65","455.79","441.33","52.48M","1.84%"
"2025-4-10","446.18","453.56","455.59","432.63","108.38M","-4.25%"
"2025-4-9","466.00","415.57","467.83","415.43","142.88M","12.00%"
"2025-4-8","416.06","438.16","443.14","409.79","101.25M","-1.80%"
"2025-4-7","423.69","408.66","443.14","402.39","161.56M","0.24%"
"2025-4-4","422.67","438.14","440.37","422.67","117.09M","-6.21%"
"2025-4-3","450.66","456.44","460.07","450.14","70.46M","-5.35%"
"2025-4-2","476.15","466.12","479.56","465.86","49.89M","0.73%"
"2025-4-1","472.70","467.30","473.63","464.42","41.16M","0.81%"
"2025-3-31","468.92","461.92","469.86","457.33","53.00M","0.00%"
"2025-3-28","468.94","479.81","480.52","468.05","46.36M","-2.63%"
"2025-3-27","481.62","482.41","486.58","480.25","33.47M","-0.57%"
"2025-3-26","484.38","492.30","493.16","482.82","35.04M","-1.84%"
"2025-3-25","493.46","491.39","493.62","490.42","26.04M","0.57%"
"2025-3-24","490.66","487.74","491.51","484.40","34.57M","2.04%"
"2025-3-21","480.84","474.08","481.61","472.90","42.23M","0.33%"
"2025-3-20","479.26","476.88","484.55","476.18","36.78M","-0.34%"
"2025-3-19","480.89","476.81","485.33","474.87","40.43M","1.34%"
"2025-3-18","474.54","479.41","479.61","472.41","39.07M","-1.70%"
"2025-3-17","482.77","479.61","485.84","477.80","41.74M","0.65%"
"2025-3-14","479.66","473.73","480.56","473.12","43.56M","2.42%"
"2025-3-13","468.34","476.25","476.28","466.43","46.56M","-1.80%"
"2025-3-12","476.92","479.16","481.06","471.79","46.97M","1.13%"
"2025-3-11","471.60","472.35","478.80","467.01","68.76M","-0.24%"
"2025-3-10","472.73","483.45","483.97","468.66","76.67M","-3.88%"
"2025-3-7","491.79","487.16","493.28","480.53","54.71M","0.74%"
"2025-3-6","488.20","493.69","498.58","486.20","57.57M","-2.75%"
"2025-3-5","502.01","496.20","503.63","491.26","46.32M","1.30%"
"2025-3-4","495.55","494.18","503.74","487.73","67.88M","-0.30%"
"2025-3-3","497.05","511.52","513.04","493.58","44.59M","-2.19%"
"2025-2-28","508.17","500.13","508.78","496.93","47.65M","1.58%"
"2025-2-27","500.27","518.13","519.07","500.05","52.45M","-2.78%"
"2025-2-26","514.56","515.53","519.66","511.37","34.46M","0.24%"
"2025-2-25","513.32","519.24","519.32","509.44","48.94M","-1.26%"
"2025-2-24","519.87","527.88","529.07","519.53","39.27M","-1.18%"
"2025-2-21","526.08","538.38","538.40","525.71","47.09M","-2.08%"
"2025-2-20","537.23","538.73","539.10","532.46","26.55M","-0.42%"
"2025-2-19","539.52","538.57","540.81","536.46","19.67M","0.03%"
"2025-2-18","539.37","539.73","540.00","536.04","20.57M","0.23%"
"2025-2-14","538.15","536.01","538.84","535.67","17.86M","0.42%"
"2025-2-13","535.90","529.98","536.22","529.19","28.71M","1.44%"
"2025-2-12","528.30","522.30","529.19","521.95","25.01M","0.06%"
"2025-2-11","527.99","525.96","529.92","525.83","19.33M","-0.24%"
"2025-2-10","529.25","527.22","530.36","526.75","20.85M","1.21%"
"2025-2-7","522.92","530.14","532.10","522.19","29.61M","-1.26%"
"2025-2-6","529.60","527.36","529.81","525.74","19.43M","0.52%"
"2025-2-5","526.85","521.82","527.01","520.62","21.13M","0.45%"
"2025-2-4","524.47","518.63","525.11","518.23","26.05M","1.23%"
"2025-2-3","518.11","513.47","520.85","511.05","40.58M","-0.80%"
"2025-1-31","522.29","526.92","531.52","521.19","38.85M","-0.15%"
"2025-1-30","523.05","523.71","526.09","518.21","27.43M","0.43%"
"2025-1-29","520.83","522.46","522.59","516.90","26.65M","-0.19%"
"2025-1-28","521.81","515.22","523.00","511.78","33.19M","1.48%"
"2025-1-27","514.21","511.00","517.99","510.15","60.77M","-2.91%"
"2025-1-24","529.63","533.02","533.79","528.15","19.88M","-0.57%"
